State,District,Crop,historical_records
Andaman and Nicobar Island,NICOBARS,Arecanut,22
Andaman and Nicobar Island,NICOBARS,Banana,22
Andaman and Nicobar Island,NICOBARS,Black pepper,21
Andaman and Nicobar Island,NICOBARS,Cashewnut,17
Andaman and Nicobar Island,NICOBARS,Coconut,20
Andaman and Nicobar Island,NICOBARS,Cowpea(Lobia),5
Andaman and Nicobar Island,NICOBARS,Dry chillies,18
Andaman and Nicobar Island,NICOBARS,Ginger,16
Andaman and Nicobar Island,NICOBARS,Maize,8
Andaman and Nicobar Island,NICOBARS,Moong(Green Gram),7
Andaman and Nicobar Island,NICOBARS,Other Kharif pulses,2
Andaman and Nicobar Island,NICOBARS,Rice,19
Andaman and Nicobar Island,NICOBARS,Sugarcane,20
Andaman and Nicobar Island,NICOBARS,Sweet potato,17
Andaman and Nicobar Island,NICOBARS,Tapioca,16
Andaman and Nicobar Island,NICOBARS,Turmeric,12
Andaman and Nicobar Island,NICOBARS,Urad,5
Andaman and Nicobar Island,NICOBARS,other oilseeds,2
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Arecanut,13
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Arhar/Tur,11
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Banana,12
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Black pepper,11
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Cashewnut,13
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Coconut,13
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Cowpea(Lobia),5
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Dry chillies,11
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Ginger,13
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Groundnut,11
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Maize,10
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Moong(Green Gram),10
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Oilseeds total,4
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Other Kharif pulses,2
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Rapeseed &Mustard,11
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Rice,13
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Sesamum,12
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Sugarcane,13
Andaman and Nicobar Island,NORTH AND MIDDLE ANDAMAN,Sunflower,6
